champion,kills,deaths,assists,gold,win
Jarvan IV,5.70391779062,5.66088631985,10.0947334618,11302.7032755,0.489402697495
Jax,5.78123480797,5.58969372873,4.49902771026,11566.9287798,0.49173553719
Jayce,6.4456686291,5.42506307822,6.2275862069,11861.153238,0.51236333053
Jhin,6.19320423528,4.88888441564,8.43053263014,11770.2114014,0.503764241717
Jinx,5.79605263158,5.59008097166,6.754048583,11809.0678138,0.463562753036
Kalista,6.95032119914,5.82269807281,6.41413276231,11877.4933619,0.528051391863
Karma,1.83432343234,4.55661566157,12.4574857486,9019.85874587,0.496429642964
Karthus,6.5934366454,6.72835004558,8.45396536007,12255.5642662,0.478577939836
Kassadin,7.13816869052,5.03577289137,6.12602559895,11431.2815884,0.516573679029
Katarina,8.84849004804,6.2870624571,5.50754975978,11740.8152025,0.516129032258
Kayle,4.50963855422,5.33855421687,6.03012048193,11497.2542169,0.506024096386
Kennen,5.45151116951,5.26780551905,6.16084099869,11581.0459921,0.517477003942
Kha'Zix,7.87783874409,5.07079713458,5.92676421277,11874.090916,0.510288065844
Kindred,5.80366300366,6.136996337,6.92014652015,11172.6739927,0.506227106227
Kled,6.05447941889,5.40677966102,7.02935835351,11300.6918886,0.50696125908
Kog'Maw,6.9424678274,6.02674741358,6.40676255362,12002.2876609,0.520060560182
LeBlanc,7.98406279734,5.11822074215,6.17055185538,11556.6753092,0.537107516651
Lee Sin,6.59881756757,5.39180743243,8.0323902027,11164.9810811,0.494467905405
Leona,1.98161894662,5.50866030399,12.5980911983,8784.91445741,0.500530222694
Lissandra,4.91661402401,5.72204674668,7.63866077069,11279.1674037,0.466203411244
Lucian,6.15769279155,5.08856459932,6.64228204806,11900.8868411,0.507988426217
Lulu,1.84540622627,4.41108580106,12.7665148064,8871.32012149,0.515110098709
Lux,5.40636868244,4.93602103418,8.45749342682,11089.1910605,0.437043529068
Malphite,3.99739389427,4.45793000745,7.68466120625,10652.7058824,0.482501861504
Malzahar,3.63642398761,5.73843770746,9.36977207347,10020.6306705,0.50398318212
Maokai,3.43489398036,4.89255727907,8.9030880888,10623.1566814,0.484986480717
Master Yi,7.92532467532,5.77380952381,4.24729437229,12209.8506494,0.494047619048
Miss Fortune,5.32750208259,5.65369510889,8.65345709866,11334.5651553,0.491253123884
Mordekaiser,5.4570673712,5.16314398943,5.91479524439,11043.4253633,0.512549537649
Morgana,2.50603463355,5.11929333567,12.3351408081,9593.05859717,0.49431520028
Nami,1.46275996312,4.25079397603,13.9545128573,8696.15520951,0.507529966192
Nasus,3.64244851259,4.823798627,6.00400457666,11327.6012586,0.486270022883
Nautilus,2.79112681586,4.86794922131,9.25624918204,9945.82515378,0.48030362518
Nidalee,6.9967005774,5.22326092934,6.99147649161,11866.4231509,0.496563101457
Nocturne,6.85168393782,5.55569948187,6.26295336788,11768.5725389,0.461787564767
Nunu,2.988125,4.565,10.180625,10070.898125,0.510625
Olaf,6.40779329027,5.23775786622,7.3031881642,11505.1848302,0.500312565118
Orianna,5.47206240858,4.85012189176,7.88620185275,11595.7874208,0.489712335446
Pantheon,7.03953943081,5.94481859657,6.5624592657,11147.3575929,0.513143601999
Poppy,3.97797356828,4.49542527957,7.43527617757,10627.6077601,0.48746187733
Quinn,7.93007518797,7.04473684211,6.67744360902,11759.7932331,0.508646616541
Rammus,4.09573672401,4.67314884069,10.0792819746,10620.0613313,0.527299925206
Rek'Sai,5.03669370413,4.34318269602,8.8180764774,11525.385477,0.499227500966
Renekton,5.30585106383,5.32415519399,5.65691489362,11787.9001877,0.501408010013
Rengar,7.22019019751,5.45340160936,6.33577176298,11890.9135333,0.515727871251
Riven,6.47312277766,5.51725580423,4.77462873876,11900.9575403,0.513700062748
Rumble,5.5765205521,5.39936296072,7.38768390717,11617.9883209,0.521462156833
Ryze,5.6808269255,5.13034161099,6.07248203706,11715.0184041,0.477625110299
Sejuani,4.25726141079,4.42116182573,9.41908713693,10674.2427386,0.477178423237
Shaco,6.94774774775,5.26764946765,6.86715806716,11844.8848485,0.530712530713
Shen,3.48683068017,4.13806078148,9.87120115774,10756.5739508,0.479015918958
Shyvana,5.48120300752,4.92898913952,6.08521303258,11713.3951546,0.475355054302
Singed,3.87388495847,5.18948015995,7.63395878191,11205.4131037,0.499538603507
Sion,3.30638915779,5.192642788,9.69796708616,10446.0585673,0.502420135528
Sivir,4.79914949297,5.03761858031,7.85148838731,12211.5348381,0.492639842983
Skarner,4.33571428571,4.53285714286,8.34571428571,10541.9285714,0.504285714286
Sona,2.59360089812,5.11366825709,12.3314622509,9108.55795678,0.52119000842
Soraka,0.70894479385,4.5571278826,13.3487071978,8281.52410901,0.519042627533
Swain,4.79871018175,5.08891928865,7.06781317178,11206.014657,0.513191323041
Syndra,6.51373588063,5.45530609399,6.01185329801,11986.3009343,0.518477199833
Tahm Kench,2.64591874767,4.88669399925,9.96757361163,9225.48304137,0.487513976892
Taliyah,6.67625671831,5.93834966804,8.04995257667,11793.1821056,0.518495099589
